Iteration	Posterior	Likelihood	Prior	tree_length
0	-44.71711	-217.6515	172.9344	1.34758
6	-43.19116	-215.8477	172.6565	1.559588
12	-27.14354	-199.8897	172.7462	1.492928
18	-17.20305	-190.4176	173.2146	1.110986
24	-16.16861	-189.3832	173.2146	1.110986
30	-22.80166	-195.9901	173.1885	1.13449
36	-27.59746	-200.2991	172.7017	1.526184
42	-37.35625	-210.838	173.4818	0.8339888
48	-29.05522	-202.254	173.1988	1.125223
54	-30.44846	-203.4434	172.995	1.298909
60	-26.82392	-200.0602	173.2362	1.091121
66	-16.20622	-189.4425	173.2362	1.091121
72	-13.62421	-187.1929	173.5687	0.7102121
78	-18.00755	-191.4287	173.4211	0.9053549
84	-21.73673	-195.2537	173.517	0.7880687
90	-10.8252	-183.819	172.9938	1.299904
96	-6.814397	-179.8612	173.0468	1.256379
102	-9.747965	-183.2078	173.4598	0.8607621
108	-12.12346	-185.5833	173.4598	0.8607621
114	-13.8057	-186.9522	173.1465	1.171561
120	-15.26904	-188.2195	172.9504	1.334831
126	-16.1503	-189.614	173.4637	0.8560589
132	-16.88667	-190.411	173.5244	0.7778282
138	-16.10319	-189.3302	173.227	1.099636
144	-13.18526	-186.2971	173.1118	1.201529
150	-9.979031	-182.9958	173.0168	1.281128
156	-11.84946	-185.3055	173.456	0.8652923
162	-15.53735	-189.0408	173.5035	0.8062021
168	-27.39033	-200.2301	172.8398	1.421657
174	-21.77597	-194.6136	172.8377	1.423298
180	-30.83315	-204.0149	173.1817	1.140506
186	-17.94385	-191.4037	173.4599	0.8606862
192	-25.54458	-198.7878	173.2432	1.084652
198	-38.84072	-211.9212	173.0804	1.228199
204	-32.09734	-205.5822	173.4848	0.8301494
210	-34.70854	-207.3098	172.6012	1.600052
216	-37.82575	-210.9426	173.1168	1.19723
222	-23.57722	-196.389	172.8117	1.443206
228	-15.44297	-188.6851	173.2421	1.085686
234	-11.09888	-184.2205	173.1216	1.193139
240	-33.36119	-205.9145	172.5533	1.634747
246	-24.16981	-197.031	172.8612	1.405112
252	-26.74617	-199.3808	172.6347	1.575648
258	-21.43891	-194.2249	172.786	1.462839
264	-26.82707	-199.3368	172.5097	1.666014
270	-13.04719	-186.4804	173.4333	0.8916971
276	-9.820455	-183.1112	173.2908	1.039746
282	-14.29241	-187.3608	173.0684	1.238308
288	-15.02384	-188.0152	172.9913	1.301895
294	-19.12946	-192.6682	173.5388	0.7571859
300	-11.159	-184.5168	173.3578	0.9731046
306	-13.27004	-186.3221	173.052	1.252004
312	-10.79158	-184.3518	173.5602	0.7241201
318	-18.66003	-192.1217	173.4616	0.8586053
324	-20.77047	-193.5761	172.8056	1.447881
330	-13.94833	-186.9986	173.0503	1.253432
336	-20.0279	-193.4503	173.4224	0.9039894
342	-16.20814	-189.5363	173.3282	1.003114
348	-5.024329	-178.0622	173.0378	1.263773
354	-6.98917	-180.1759	173.1867	1.136102
360	-6.592619	-179.9681	173.3755	0.954763
366	-19.50081	-192.9189	173.4181	0.9087247
372	-40.01449	-213.2039	173.1894	1.133699
378	-12.72478	-186.1635	173.4387	0.8854229
384	-13.40104	-186.3542	172.9532	1.332629
390	-20.56333	-193.9429	173.3795	0.9504743
396	-30.03607	-203.1489	173.1128	1.200662
402	-30.66728	-203.7806	173.1133	1.200261
408	-24.01738	-196.9645	172.9471	1.337456
414	-17.7885	-191.101	173.3125	1.018612
420	-18.95113	-192.3676	173.4164	0.9106068
426	-26.13679	-199.5766	173.4398	0.8841927
432	-24.65519	-198.0455	173.3903	0.939073
438	-32.88414	-206.1071	173.223	1.103306
444	-33.79502	-206.4008	172.6058	1.596713
450	-33.10215	-205.708	172.6058	1.596713
456	-32.77524	-205.5528	172.7775	1.469257
462	-23.60765	-196.5268	172.9191	1.359706
468	-29.83961	-202.7588	172.9191	1.359706
474	-25.34138	-198.5775	173.2362	1.091206
480	-32.03988	-204.6953	172.6554	1.560405
486	-20.88546	-194.1548	173.2693	1.060224
492	-24.99323	-198.2164	173.2231	1.103176
498	-24.36249	-197.9954	173.6329	0.5529828
504	-12.95189	-186.2253	173.2734	1.056379
510	-11.55255	-184.89	173.3374	0.9938387
516	-25.20963	-198.3364	173.1268	1.188689
522	-22.54397	-195.9347	173.3908	0.9385565
528	-22.6568	-195.7259	173.0691	1.237726
534	-23.54848	-196.743	173.1945	1.129128
540	-29.79475	-202.8225	173.0277	1.27212
546	-13.41845	-186.783	173.3646	0.966105
552	-14.06138	-187.4455	173.3841	0.9456552
558	-19.59087	-192.7486	173.1577	1.161726
564	-18.22444	-191.5197	173.2953	1.035389
570	-19.34133	-192.0514	172.7101	1.519926
576	-10.55353	-184.0118	173.4583	0.8625818
582	-12.15248	-185.113	172.9605	1.326741
588	-38.2961	-211.2938	172.9977	1.296706
594	-36.82091	-210.009	173.1881	1.134846
600	-29.54814	-202.7362	173.1881	1.134846
606	-19.80347	-192.8163	173.0128	1.284383
612	-20.24948	-192.9853	172.7358	1.500698
618	-20.5587	-193.4591	172.9004	1.374475
624	-17.70088	-190.6013	172.9004	1.374475
630	-13.54656	-186.6629	173.1164	1.197632
636	-13.68392	-187.084	173.4001	0.9284951
642	-16.51993	-189.8294	173.3095	1.021569
648	-12.85238	-186.1478	173.2954	1.035272
654	-18.36781	-191.7088	173.341	0.9902789
660	-13.26111	-186.2537	172.9926	1.300848
666	-17.15195	-190.729	173.577	0.695752
672	-8.983507	-182.516	173.5325	0.7662782
678	-12.2458	-185.7138	173.468	0.8509696
684	-9.960332	-183.0918	173.1315	1.184597
690	-8.822454	-181.9581	173.1356	1.181004
696	-7.756123	-180.8892	173.1331	1.183231
702	-15.76746	-189.1942	173.4268	0.8990611
708	-29.28654	-202.5881	173.3015	1.029325
714	-16.18062	-189.5395	173.3589	0.9719682
720	-20.21852	-192.7594	172.5409	1.643683
726	-11.54475	-185.0606	173.5158	0.7896115
732	-17.90297	-191.202	173.299	1.031744
738	-18.47593	-191.8446	173.3686	0.9618952
744	-24.30941	-197.8902	173.5808	0.6890165
750	-28.33384	-201.4251	173.0912	1.219063
756	-19.46317	-192.5544	173.0912	1.219063
762	-17.20233	-190.3699	173.1676	1.153039
768	-18.72463	-192.1859	173.4612	0.8590667
774	-18.08084	-191.3583	173.2774	1.052501
780	-31.37198	-204.5396	173.1676	1.153049
786	-33.36045	-206.4085	173.0481	1.255281
792	-32.04029	-205.4701	173.4298	0.8956034
798	-24.85695	-198.2565	173.3995	0.9291034
804	-23.94283	-197.2941	173.3513	0.9797952
810	-25.3697	-198.2686	172.8989	1.375681
816	-29.6449	-202.3413	172.6964	1.53009
822	-25.39397	-198.331	172.937	1.34552
828	-20.55961	-193.9427	173.383	0.9467654
834	-24.26068	-196.7815	172.5209	1.658024
840	-25.07777	-198.0676	172.9898	1.30312
846	-31.06827	-204.3433	173.275	1.054795
852	-33.17865	-206.4537	173.275	1.054795
858	-28.08462	-201.2499	173.1652	1.15513
864	-22.04909	-195.0405	172.9914	1.301825
870	-19.70505	-192.6965	172.9914	1.301825
876	-14.52398	-187.7495	173.2255	1.100961
882	-13.69341	-186.919	173.2255	1.100961
888	-7.969862	-181.4592	173.4894	0.8244035
894	-21.78869	-195.082	173.2933	1.03729
900	-15.881	-188.803	172.922	1.357464
906	-7.906089	-180.6809	172.7748	1.471294
912	-7.721328	-181.0915	173.3702	0.9602521
918	-13.58133	-186.6341	173.0528	1.251354
924	-16.65521	-190.1588	173.5036	0.8059721
930	-16.91808	-190.084	173.166	1.154487
936	-29.82214	-202.6776	172.8555	1.409526
942	-24.43777	-197.3961	172.9583	1.328521
948	-35.3638	-208.3221	172.9583	1.328521
954	-29.73007	-203.0704	173.3403	0.9909269
960	-22.3528	-194.4239	172.0711	1.968803
966	-10.69831	-183.5736	172.8753	1.394113
972	-3.623141	-177.0648	173.4417	0.882042
978	-6.198742	-179.6325	173.4338	0.8911069
984	-8.892575	-182.2431	173.3505	0.9806159
990	-22.19179	-194.8829	172.6911	1.53405
996	-40.02341	-212.616	172.5926	1.606316
1002	-32.53061	-205.43	172.8993	1.375304
1008	-23.05314	-196.4508	173.3976	0.9311788
1014	-17.05399	-190.1301	173.0761	1.231861
1020	-18.24582	-190.9114	172.6656	1.552903
1026	-13.36963	-186.6282	173.2585	1.070393
1032	-23.25508	-196.4607	173.2056	1.119075
1038	-16.65863	-189.86	173.2013	1.122952
1044	-15.07523	-188.2766	173.2013	1.122952
1050	-37.14086	-210.0662	172.9254	1.354773
1056	-33.94699	-207.349	173.402	0.9264037
1062	-14.58646	-187.9964	173.41	0.9177141
1068	-20.84441	-194.3848	173.5404	0.7547978
1074	-17.22277	-190.5689	173.3461	0.9850449
1080	-16.90147	-190.2476	173.3461	0.9850449
1086	-21.63398	-193.8684	172.2344	1.858265
1092	-23.38471	-196.6661	173.2814	1.04875
1098	-20.46993	-193.5204	173.0504	1.253319
