scenario,modelID,gridTag,tree_length,gain_loss,n_char,part_rate,median_cid,iqr_cid,n_reps
mk,M8 (NT baseline),tl1.00_gl0.50_c25,1,0.5,25,NA,0.5418487868550409,0.06618632541017322,10
mk,M12,tl1.00_gl0.50_c25,1,0.5,25,NA,0.5392266625228569,0.06239604458523551,10
mk,M5,tl1.00_gl0.50_c25,1,0.5,25,NA,0.5449934595126777,0.05916960234267099,10
mk,M2,tl1.00_gl0.50_c25,1,0.5,25,NA,0.541687158020391,0.06559107079288551,10
mk,M9,tl1.00_gl0.50_c25,1,0.5,25,NA,0.5426926893462436,0.06671204612537474,10
mk,M8 (NT baseline),tl1.00_gl0.50_c50,1,0.5,50,NA,0.3865788320441381,0.049590778455673334,10
mk,M12,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38040420750550663,0.049311394907668615,10
mk,M7,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38996827345409035,0.052341571877588144,10
mk,M4,tl1.00_gl0.50_c50,1,0.5,50,NA,0.3854376681885849,0.05195064849731701,10
mk,M10,tl1.00_gl0.50_c50,1,0.5,50,NA,0.3866148534299437,0.0503681495264241,10
mk,M5,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38548755829717973,0.05267503657283534,10
mk,M6,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38990550425420667,0.05021282120999171,10
mk,M3,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38697677244093825,0.04845988898040565,10
mk,M11,tl1.00_gl0.50_c50,1,0.5,50,NA,0.35398437677147276,0.05600082431619663,10
mk,M9,tl1.00_gl0.50_c50,1,0.5,50,NA,0.38823894752735605,0.050523634784991944,10
mk,M1 (Mk baseline),tl1.00_gl0.50_c50,1,0.5,50,NA,0.3865815932343553,0.04928227583083922,10
mk,M2,tl1.00_gl0.50_c50,1,0.5,50,NA,0.3881951652360411,0.05125253520824008,10
mk,M10,tl1.00_gl1.00_c100,1,1,100,NA,0.2697723006762066,0.09530471003144092,10
mk,M2,tl1.00_gl1.00_c100,1,1,100,NA,0.2690181395183373,0.09806373496029108,10
mk,M4,tl1.00_gl1.00_c100,1,1,100,NA,0.26802352842516797,0.09645635714641751,10
mk,M9,tl1.00_gl1.00_c100,1,1,100,NA,0.2695738971639583,0.09414045807391425,10
mk,M5,tl1.00_gl1.00_c100,1,1,100,NA,0.2686821756310094,0.09377755513732008,10
mk,M1 (Mk baseline),tl1.00_gl1.00_c100,1,1,100,NA,0.26758047292200043,0.10113987270861466,10
mk,M6,tl1.00_gl1.00_c100,1,1,100,NA,0.2688479560939514,0.0931928126633349,10
mk,M11,tl1.00_gl1.00_c100,1,1,100,NA,0.2598559330299321,0.09171128806079165,10
mk,M3,tl1.00_gl1.00_c100,1,1,100,NA,0.26639808643037544,0.09821745737393284,10
mk,M7,tl1.00_gl1.00_c100,1,1,100,NA,0.26906328355322484,0.09683469340157538,10
mk,M8 (NT baseline),tl1.00_gl1.00_c100,1,1,100,NA,0.2678323114385139,0.09276101173482643,10
mk,M12,tl1.00_gl1.00_c100,1,1,100,NA,0.266284177728802,0.09857818710554667,10
mk,M2,tl1.00_gl1.00_c200,1,1,200,NA,0.19817605786293854,0.06037866351024243,10
mk,M6,tl1.00_gl1.00_c200,1,1,200,NA,0.1984403843939444,0.06159944753394153,10
mk,M5,tl1.00_gl1.00_c200,1,1,200,NA,0.19789019902822647,0.06281752240407068,10
mk,M3,tl1.00_gl1.00_c200,1,1,200,NA,0.19802216198271,0.06048672815076572,10
mk,M12,tl1.00_gl1.00_c200,1,1,200,NA,0.19566887091338464,0.07419117193752928,9
mk,M8 (NT baseline),tl1.00_gl1.00_c200,1,1,200,NA,0.1976061194945384,0.06260979101261333,10
mk,M11,tl1.00_gl1.00_c200,1,1,200,NA,0.17985327669909185,0.05797264256456744,10
mk,M4,tl1.00_gl1.00_c200,1,1,200,NA,0.19832123986395533,0.061215818021872676,10
mk,M10,tl1.00_gl1.00_c200,1,1,200,NA,0.196644970377018,0.0630102490795566,10
mk,M7,tl1.00_gl1.00_c200,1,1,200,NA,0.195782894800952,0.04542974015414025,9
mk,M1 (Mk baseline),tl1.00_gl1.00_c200,1,1,200,NA,0.19819944359529768,0.06152311757854803,10
mk,M9,tl1.00_gl1.00_c200,1,1,200,NA,0.19797943633707477,0.060541963786396064,10
mk,M4,tl1.00_gl1.00_c25,1,1,25,NA,0.5427246096563696,0.06582771601497495,10
mk,M5,tl1.00_gl1.00_c25,1,1,25,NA,0.5427286352206224,0.061900026298329136,10
mk,M8 (NT baseline),tl1.00_gl1.00_c25,1,1,25,NA,0.5418487868550409,0.06618632541017322,10
mk,M7,tl1.00_gl1.00_c25,1,1,25,NA,0.5420566248844927,0.06504498796976976,10
mk,M12,tl1.00_gl1.00_c25,1,1,25,NA,0.5393476887083596,0.06256399114415745,10
mk,M9,tl1.00_gl1.00_c25,1,1,25,NA,0.5426926893462436,0.06671204612537474,10
mk,M6,tl1.00_gl1.00_c25,1,1,25,NA,0.5449728733763436,0.06647750300511746,10
mk,M3,tl1.00_gl1.00_c25,1,1,25,NA,0.5430628637492112,0.06049362018676363,10
mk,M11,tl1.00_gl1.00_c25,1,1,25,NA,0.5309219113311752,0.05350703844163651,10
mk,M1 (Mk baseline),tl1.00_gl1.00_c25,1,1,25,NA,0.5434042919840321,0.06730284868968683,10
mk,M2,tl1.00_gl1.00_c25,1,1,25,NA,0.541687158020391,0.06559107079288551,10
mk,M10,tl1.00_gl1.00_c25,1,1,25,NA,0.542360176025558,0.06455199972268544,10
