"scenario","modelID","gridTag","parameter","true_value","coverage_rate","n_covers","n_total","tree_length","gain_loss","n_char"
"mk","model2","tl2.50_gl0.10_c25","gain_loss_ratio",10,NA,0,0,2.5,0.1,25
"mk","model2","tl5.00_gl0.10_c25","tree_length",5,0.8,8,10,5,0.1,25
"mk","model2","tl5.00_gl0.10_c25","gain_loss_ratio",10,NA,0,0,5,0.1,25
"mk","model2","tl1.00_gl0.25_c25","tree_length",1,1,10,10,1,0.25,25
"mk","model2","tl1.00_gl0.25_c25","gain_loss_ratio",4,NA,0,0,1,0.25,25
"mk","model2","tl1.50_gl0.25_c25","tree_length",1.5,1,10,10,1.5,0.25,25
"mk","model2","tl1.50_gl0.25_c25","gain_loss_ratio",4,NA,0,0,1.5,0.25,25
"mk","model2","tl2.50_gl0.25_c25","tree_length",2.5,1,10,10,2.5,0.25,25
"mk","model2","tl2.50_gl0.25_c25","gain_loss_ratio",4,NA,0,0,2.5,0.25,25
"mk","model2","tl5.00_gl0.25_c25","tree_length",5,0.8,8,10,5,0.25,25
"mk","model2","tl5.00_gl0.25_c25","gain_loss_ratio",4,NA,0,0,5,0.25,25
"mk","model2","tl1.00_gl0.50_c25","tree_length",1,1,10,10,1,0.5,25
"mk","model2","tl1.00_gl0.50_c25","gain_loss_ratio",2,NA,0,0,1,0.5,25
"mk","model2","tl1.50_gl0.50_c25","tree_length",1.5,1,10,10,1.5,0.5,25
"mk","model2","tl1.50_gl0.50_c25","gain_loss_ratio",2,NA,0,0,1.5,0.5,25
"mk","model2","tl2.50_gl0.50_c25","tree_length",2.5,1,10,10,2.5,0.5,25
"mk","model2","tl2.50_gl0.50_c25","gain_loss_ratio",2,NA,0,0,2.5,0.5,25
"mk","model2","tl5.00_gl0.50_c25","tree_length",5,0.8,8,10,5,0.5,25
"mk","model2","tl5.00_gl0.50_c25","gain_loss_ratio",2,NA,0,0,5,0.5,25
"mk","model2","tl1.00_gl1.00_c25","tree_length",1,1,10,10,1,1,25
"mk","model2","tl1.00_gl1.00_c25","gain_loss_ratio",1,NA,0,0,1,1,25
"mk","model2","tl1.50_gl1.00_c25","tree_length",1.5,1,10,10,1.5,1,25
"mk","model2","tl1.50_gl1.00_c25","gain_loss_ratio",1,NA,0,0,1.5,1,25
"mk","model2","tl2.50_gl1.00_c25","tree_length",2.5,1,10,10,2.5,1,25
"mk","model2","tl2.50_gl1.00_c25","gain_loss_ratio",1,NA,0,0,2.5,1,25
"mk","model2","tl5.00_gl1.00_c25","tree_length",5,0.8,8,10,5,1,25
"mk","model2","tl5.00_gl1.00_c25","gain_loss_ratio",1,NA,0,0,5,1,25
"mk","model2","tl1.00_gl0.10_c50","tree_length",1,1,10,10,1,0.1,50
"mk","model2","tl1.00_gl0.10_c50","gain_loss_ratio",10,NA,0,0,1,0.1,50
"mk","model2","tl1.50_gl0.10_c50","tree_length",1.5,1,10,10,1.5,0.1,50
"mk","model2","tl1.50_gl0.10_c50","gain_loss_ratio",10,NA,0,0,1.5,0.1,50
"mk","model2","tl2.50_gl0.10_c50","tree_length",2.5,1,10,10,2.5,0.1,50
"mk","model2","tl2.50_gl0.10_c50","gain_loss_ratio",10,NA,0,0,2.5,0.1,50
"mk","model2","tl5.00_gl0.10_c50","tree_length",5,0.8,8,10,5,0.1,50
"mk","model2","tl5.00_gl0.10_c50","gain_loss_ratio",10,NA,0,0,5,0.1,50
"mk","model2","tl1.00_gl0.25_c50","tree_length",1,1,10,10,1,0.25,50
"mk","model2","tl1.00_gl0.25_c50","gain_loss_ratio",4,NA,0,0,1,0.25,50
"mk","model2","tl1.50_gl0.25_c50","tree_length",1.5,1,10,10,1.5,0.25,50
"mk","model2","tl1.50_gl0.25_c50","gain_loss_ratio",4,NA,0,0,1.5,0.25,50
"mk","model2","tl2.50_gl0.25_c50","tree_length",2.5,1,10,10,2.5,0.25,50
"mk","model2","tl2.50_gl0.25_c50","gain_loss_ratio",4,NA,0,0,2.5,0.25,50
"mk","model2","tl5.00_gl0.25_c50","tree_length",5,0.8,8,10,5,0.25,50
"mk","model2","tl5.00_gl0.25_c50","gain_loss_ratio",4,NA,0,0,5,0.25,50
"mk","model2","tl1.00_gl0.50_c50","tree_length",1,1,10,10,1,0.5,50
"mk","model2","tl1.00_gl0.50_c50","gain_loss_ratio",2,NA,0,0,1,0.5,50
"mk","model2","tl1.50_gl0.50_c50","tree_length",1.5,1,10,10,1.5,0.5,50
"mk","model2","tl1.50_gl0.50_c50","gain_loss_ratio",2,NA,0,0,1.5,0.5,50
"mk","model2","tl2.50_gl0.50_c50","tree_length",2.5,1,10,10,2.5,0.5,50
"mk","model2","tl2.50_gl0.50_c50","gain_loss_ratio",2,NA,0,0,2.5,0.5,50
"mk","model2","tl5.00_gl0.50_c50","tree_length",5,0.8,8,10,5,0.5,50
"mk","model2","tl5.00_gl0.50_c50","gain_loss_ratio",2,NA,0,0,5,0.5,50
"mk","model2","tl1.00_gl1.00_c50","tree_length",1,1,10,10,1,1,50
"mk","model2","tl1.00_gl1.00_c50","gain_loss_ratio",1,NA,0,0,1,1,50
"mk","model2","tl1.50_gl1.00_c50","tree_length",1.5,1,10,10,1.5,1,50
"mk","model2","tl1.50_gl1.00_c50","gain_loss_ratio",1,NA,0,0,1.5,1,50
"mk","model2","tl2.50_gl1.00_c50","tree_length",2.5,1,10,10,2.5,1,50
"mk","model2","tl2.50_gl1.00_c50","gain_loss_ratio",1,NA,0,0,2.5,1,50
"mk","model2","tl5.00_gl1.00_c50","tree_length",5,0.8,8,10,5,1,50
"mk","model2","tl5.00_gl1.00_c50","gain_loss_ratio",1,NA,0,0,5,1,50
"mk","model2","tl1.00_gl0.10_c100","tree_length",1,1,10,10,1,0.1,100
"mk","model2","tl1.00_gl0.10_c100","gain_loss_ratio",10,NA,0,0,1,0.1,100
"mk","model2","tl1.50_gl0.10_c100","tree_length",1.5,0.9,9,10,1.5,0.1,100
"mk","model2","tl1.50_gl0.10_c100","gain_loss_ratio",10,NA,0,0,1.5,0.1,100
"mk","model2","tl2.50_gl0.10_c100","tree_length",2.5,1,10,10,2.5,0.1,100
"mk","model2","tl2.50_gl0.10_c100","gain_loss_ratio",10,NA,0,0,2.5,0.1,100
"mk","model2","tl5.00_gl0.10_c100","tree_length",5,1,10,10,5,0.1,100
"mk","model2","tl5.00_gl0.10_c100","gain_loss_ratio",10,NA,0,0,5,0.1,100
"mk","model2","tl1.00_gl0.25_c100","tree_length",1,1,10,10,1,0.25,100
"mk","model2","tl1.00_gl0.25_c100","gain_loss_ratio",4,NA,0,0,1,0.25,100
"mk","model2","tl1.50_gl0.25_c100","tree_length",1.5,0.9,9,10,1.5,0.25,100
"mk","model2","tl1.50_gl0.25_c100","gain_loss_ratio",4,NA,0,0,1.5,0.25,100
"mk","model2","tl2.50_gl0.25_c100","tree_length",2.5,1,10,10,2.5,0.25,100
"mk","model2","tl2.50_gl0.25_c100","gain_loss_ratio",4,NA,0,0,2.5,0.25,100
"mk","model2","tl5.00_gl0.25_c100","tree_length",5,1,10,10,5,0.25,100
"mk","model2","tl5.00_gl0.25_c100","gain_loss_ratio",4,NA,0,0,5,0.25,100
"mk","model2","tl1.00_gl0.50_c100","tree_length",1,1,10,10,1,0.5,100
"mk","model2","tl1.00_gl0.50_c100","gain_loss_ratio",2,NA,0,0,1,0.5,100
"mk","model2","tl1.50_gl0.50_c100","tree_length",1.5,0.9,9,10,1.5,0.5,100
"mk","model2","tl1.50_gl0.50_c100","gain_loss_ratio",2,NA,0,0,1.5,0.5,100
"mk","model2","tl2.50_gl0.50_c100","tree_length",2.5,1,10,10,2.5,0.5,100
"mk","model2","tl2.50_gl0.50_c100","gain_loss_ratio",2,NA,0,0,2.5,0.5,100
"mk","model2","tl5.00_gl0.50_c100","tree_length",5,1,10,10,5,0.5,100
"mk","model2","tl5.00_gl0.50_c100","gain_loss_ratio",2,NA,0,0,5,0.5,100
"mk","model2","tl1.00_gl1.00_c100","tree_length",1,1,10,10,1,1,100
"mk","model2","tl1.00_gl1.00_c100","gain_loss_ratio",1,NA,0,0,1,1,100
"mk","model2","tl1.50_gl1.00_c100","tree_length",1.5,0.9,9,10,1.5,1,100
"mk","model2","tl1.50_gl1.00_c100","gain_loss_ratio",1,NA,0,0,1.5,1,100
"mk","model2","tl2.50_gl1.00_c100","tree_length",2.5,1,10,10,2.5,1,100
"mk","model2","tl2.50_gl1.00_c100","gain_loss_ratio",1,NA,0,0,2.5,1,100
"mk","model2","tl5.00_gl1.00_c100","tree_length",5,1,10,10,5,1,100
"mk","model2","tl5.00_gl1.00_c100","gain_loss_ratio",1,NA,0,0,5,1,100
"mk","model2","tl1.00_gl0.10_c200","tree_length",1,1,10,10,1,0.1,200
"mk","model2","tl1.00_gl0.10_c200","gain_loss_ratio",10,NA,0,0,1,0.1,200
"mk","model2","tl1.50_gl0.10_c200","tree_length",1.5,1,10,10,1.5,0.1,200
"mk","model2","tl1.50_gl0.10_c200","gain_loss_ratio",10,NA,0,0,1.5,0.1,200
"mk","model2","tl2.50_gl0.10_c200","tree_length",2.5,1,10,10,2.5,0.1,200
"mk","model2","tl2.50_gl0.10_c200","gain_loss_ratio",10,NA,0,0,2.5,0.1,200
"mk","model2","tl5.00_gl0.10_c200","tree_length",5,1,10,10,5,0.1,200
"mk","model2","tl5.00_gl0.10_c200","gain_loss_ratio",10,NA,0,0,5,0.1,200
"mk","model2","tl1.00_gl0.25_c200","tree_length",1,1,10,10,1,0.25,200
"mk","model2","tl1.00_gl0.25_c200","gain_loss_ratio",4,NA,0,0,1,0.25,200
"mk","model2","tl1.50_gl0.25_c200","tree_length",1.5,1,10,10,1.5,0.25,200
"mk","model2","tl1.50_gl0.25_c200","gain_loss_ratio",4,NA,0,0,1.5,0.25,200
"mk","model2","tl2.50_gl0.25_c200","tree_length",2.5,1,10,10,2.5,0.25,200
"mk","model2","tl2.50_gl0.25_c200","gain_loss_ratio",4,NA,0,0,2.5,0.25,200
"mk","model2","tl5.00_gl0.25_c200","tree_length",5,1,10,10,5,0.25,200
"mk","model2","tl5.00_gl0.25_c200","gain_loss_ratio",4,NA,0,0,5,0.25,200
"mk","model2","tl1.00_gl0.50_c200","tree_length",1,1,10,10,1,0.5,200
"mk","model2","tl1.00_gl0.50_c200","gain_loss_ratio",2,NA,0,0,1,0.5,200
"mk","model2","tl1.50_gl0.50_c200","tree_length",1.5,1,10,10,1.5,0.5,200
"mk","model2","tl1.50_gl0.50_c200","gain_loss_ratio",2,NA,0,0,1.5,0.5,200
"mk","model2","tl2.50_gl0.50_c200","tree_length",2.5,1,10,10,2.5,0.5,200
"mk","model2","tl2.50_gl0.50_c200","gain_loss_ratio",2,NA,0,0,2.5,0.5,200
"mk","model2","tl5.00_gl0.50_c200","tree_length",5,1,10,10,5,0.5,200
"mk","model2","tl5.00_gl0.50_c200","gain_loss_ratio",2,NA,0,0,5,0.5,200
"mk","model2","tl1.00_gl1.00_c200","tree_length",1,1,10,10,1,1,200
"mk","model2","tl1.00_gl1.00_c200","gain_loss_ratio",1,NA,0,0,1,1,200
"mk","model2","tl1.50_gl1.00_c200","tree_length",1.5,1,10,10,1.5,1,200
"mk","model2","tl1.50_gl1.00_c200","gain_loss_ratio",1,NA,0,0,1.5,1,200
"mk","model2","tl2.50_gl1.00_c200","tree_length",2.5,1,10,10,2.5,1,200
"mk","model2","tl2.50_gl1.00_c200","gain_loss_ratio",1,NA,0,0,2.5,1,200
"mk","model2","tl5.00_gl1.00_c200","tree_length",5,1,10,10,5,1,200
"mk","model2","tl5.00_gl1.00_c200","gain_loss_ratio",1,NA,0,0,5,1,200
"mk","model3","tl1.00_gl0.10_c25","tree_length",1,1,10,10,1,0.1,25
"mk","model3","tl1.00_gl0.10_c25","gain_loss_ratio",10,0,0,10,1,0.1,25
"mk","model3","tl1.50_gl0.10_c25","tree_length",1.5,1,10,10,1.5,0.1,25
"mk","model3","tl1.50_gl0.10_c25","gain_loss_ratio",10,0,0,10,1.5,0.1,25
"mk","model3","tl2.50_gl0.10_c25","tree_length",2.5,1,10,10,2.5,0.1,25
"mk","model3","tl2.50_gl0.10_c25","gain_loss_ratio",10,0,0,10,2.5,0.1,25
"mk","model3","tl5.00_gl0.10_c25","tree_length",5,0.7,7,10,5,0.1,25
"mk","model3","tl5.00_gl0.10_c25","gain_loss_ratio",10,0,0,10,5,0.1,25
"mk","model3","tl1.00_gl0.25_c25","tree_length",1,1,10,10,1,0.25,25
"mk","model3","tl1.00_gl0.25_c25","gain_loss_ratio",4,0.2,2,10,1,0.25,25
"mk","model3","tl1.50_gl0.25_c25","tree_length",1.5,1,10,10,1.5,0.25,25
"mk","model3","tl1.50_gl0.25_c25","gain_loss_ratio",4,0.1,1,10,1.5,0.25,25
"mk","model3","tl2.50_gl0.25_c25","tree_length",2.5,1,10,10,2.5,0.25,25
"mk","model3","tl2.50_gl0.25_c25","gain_loss_ratio",4,0,0,10,2.5,0.25,25
"mk","model3","tl5.00_gl0.25_c25","tree_length",5,0.7,7,10,5,0.25,25
"mk","model3","tl5.00_gl0.25_c25","gain_loss_ratio",4,0,0,10,5,0.25,25
"mk","model3","tl1.00_gl0.50_c25","tree_length",1,1,10,10,1,0.5,25
"mk","model3","tl1.00_gl0.50_c25","gain_loss_ratio",2,0.8,8,10,1,0.5,25
"mk","model3","tl1.50_gl0.50_c25","tree_length",1.5,1,10,10,1.5,0.5,25
"mk","model3","tl1.50_gl0.50_c25","gain_loss_ratio",2,0.4,4,10,1.5,0.5,25
"mk","model3","tl2.50_gl0.50_c25","tree_length",2.5,1,10,10,2.5,0.5,25
"mk","model3","tl2.50_gl0.50_c25","gain_loss_ratio",2,0.6,6,10,2.5,0.5,25
"mk","model3","tl5.00_gl0.50_c25","tree_length",5,0.7,7,10,5,0.5,25
"mk","model3","tl5.00_gl0.50_c25","gain_loss_ratio",2,0,0,10,5,0.5,25
"mk","model3","tl1.00_gl1.00_c25","tree_length",1,1,10,10,1,1,25
"mk","model3","tl1.00_gl1.00_c25","gain_loss_ratio",1,1,10,10,1,1,25
"mk","model3","tl1.50_gl1.00_c25","tree_length",1.5,1,10,10,1.5,1,25
"mk","model3","tl1.50_gl1.00_c25","gain_loss_ratio",1,1,10,10,1.5,1,25
"mk","model3","tl2.50_gl1.00_c25","tree_length",2.5,1,10,10,2.5,1,25
"mk","model3","tl2.50_gl1.00_c25","gain_loss_ratio",1,1,10,10,2.5,1,25
"mk","model3","tl5.00_gl1.00_c25","tree_length",5,0.7,7,10,5,1,25
"mk","model3","tl5.00_gl1.00_c25","gain_loss_ratio",1,0.9,9,10,5,1,25
"mk","model3","tl1.00_gl0.10_c50","tree_length",1,0.9,9,10,1,0.1,50
"mk","model3","tl1.00_gl0.10_c50","gain_loss_ratio",10,0,0,10,1,0.1,50
"mk","model3","tl1.50_gl0.10_c50","tree_length",1.5,1,10,10,1.5,0.1,50
"mk","model3","tl1.50_gl0.10_c50","gain_loss_ratio",10,0,0,10,1.5,0.1,50
"mk","model3","tl2.50_gl0.10_c50","tree_length",2.5,1,10,10,2.5,0.1,50
"mk","model3","tl2.50_gl0.10_c50","gain_loss_ratio",10,0,0,10,2.5,0.1,50
"mk","model3","tl5.00_gl0.10_c50","tree_length",5,0.7,7,10,5,0.1,50
"mk","model3","tl5.00_gl0.10_c50","gain_loss_ratio",10,0,0,10,5,0.1,50
"mk","model3","tl1.00_gl0.25_c50","tree_length",1,0.9,9,10,1,0.25,50
"mk","model3","tl1.00_gl0.25_c50","gain_loss_ratio",4,0,0,10,1,0.25,50
"mk","model3","tl1.50_gl0.25_c50","tree_length",1.5,1,10,10,1.5,0.25,50
"mk","model3","tl1.50_gl0.25_c50","gain_loss_ratio",4,0,0,10,1.5,0.25,50
"mk","model3","tl2.50_gl0.25_c50","tree_length",2.5,1,10,10,2.5,0.25,50
"mk","model3","tl2.50_gl0.25_c50","gain_loss_ratio",4,0,0,10,2.5,0.25,50
"mk","model3","tl5.00_gl0.25_c50","tree_length",5,0.7,7,10,5,0.25,50
"mk","model3","tl5.00_gl0.25_c50","gain_loss_ratio",4,0,0,10,5,0.25,50
"mk","model3","tl1.00_gl0.50_c50","tree_length",1,0.9,9,10,1,0.5,50
"mk","model3","tl1.00_gl0.50_c50","gain_loss_ratio",2,0.6,6,10,1,0.5,50
"mk","model3","tl1.50_gl0.50_c50","tree_length",1.5,1,10,10,1.5,0.5,50
"mk","model3","tl1.50_gl0.50_c50","gain_loss_ratio",2,0.3,3,10,1.5,0.5,50
"mk","model3","tl2.50_gl0.50_c50","tree_length",2.5,1,10,10,2.5,0.5,50
"mk","model3","tl2.50_gl0.50_c50","gain_loss_ratio",2,0.1,1,10,2.5,0.5,50
"mk","model3","tl5.00_gl0.50_c50","tree_length",5,0.7,7,10,5,0.5,50
"mk","model3","tl5.00_gl0.50_c50","gain_loss_ratio",2,0,0,10,5,0.5,50
"mk","model3","tl1.00_gl1.00_c50","tree_length",1,0.9,9,10,1,1,50
"mk","model3","tl1.00_gl1.00_c50","gain_loss_ratio",1,1,10,10,1,1,50
"mk","model3","tl1.50_gl1.00_c50","tree_length",1.5,1,10,10,1.5,1,50
"mk","model3","tl1.50_gl1.00_c50","gain_loss_ratio",1,1,10,10,1.5,1,50
"mk","model3","tl2.50_gl1.00_c50","tree_length",2.5,1,10,10,2.5,1,50
"mk","model3","tl2.50_gl1.00_c50","gain_loss_ratio",1,0.8,8,10,2.5,1,50
"mk","model3","tl5.00_gl1.00_c50","tree_length",5,0.7,7,10,5,1,50
"mk","model3","tl5.00_gl1.00_c50","gain_loss_ratio",1,0.9,9,10,5,1,50
"mk","model3","tl1.00_gl0.10_c100","tree_length",1,0.9,9,10,1,0.1,100
"mk","model3","tl1.00_gl0.10_c100","gain_loss_ratio",10,0,0,10,1,0.1,100
"mk","model3","tl1.50_gl0.10_c100","tree_length",1.5,0.9,9,10,1.5,0.1,100
"mk","model3","tl1.50_gl0.10_c100","gain_loss_ratio",10,0,0,10,1.5,0.1,100
"mk","model3","tl2.50_gl0.10_c100","tree_length",2.5,0.9,9,10,2.5,0.1,100
"mk","model3","tl2.50_gl0.10_c100","gain_loss_ratio",10,0,0,10,2.5,0.1,100
"mk","model3","tl5.00_gl0.10_c100","tree_length",5,1,10,10,5,0.1,100
"mk","model3","tl5.00_gl0.10_c100","gain_loss_ratio",10,0,0,10,5,0.1,100
"mk","model3","tl1.00_gl0.25_c100","tree_length",1,0.9,9,10,1,0.25,100
"mk","model3","tl1.00_gl0.25_c100","gain_loss_ratio",4,0,0,10,1,0.25,100
"mk","model3","tl1.50_gl0.25_c100","tree_length",1.5,0.9,9,10,1.5,0.25,100
"mk","model3","tl1.50_gl0.25_c100","gain_loss_ratio",4,0,0,10,1.5,0.25,100
"mk","model3","tl2.50_gl0.25_c100","tree_length",2.5,0.9,9,10,2.5,0.25,100
"mk","model3","tl2.50_gl0.25_c100","gain_loss_ratio",4,0,0,10,2.5,0.25,100
"mk","model3","tl5.00_gl0.25_c100","tree_length",5,1,10,10,5,0.25,100
"mk","model3","tl5.00_gl0.25_c100","gain_loss_ratio",4,0,0,10,5,0.25,100
"mk","model3","tl1.00_gl0.50_c100","tree_length",1,0.9,9,10,1,0.5,100
"mk","model3","tl1.00_gl0.50_c100","gain_loss_ratio",2,0.2,2,10,1,0.5,100
"mk","model3","tl1.50_gl0.50_c100","tree_length",1.5,0.9,9,10,1.5,0.5,100
"mk","model3","tl1.50_gl0.50_c100","gain_loss_ratio",2,0,0,10,1.5,0.5,100
"mk","model3","tl2.50_gl0.50_c100","tree_length",2.5,0.9,9,10,2.5,0.5,100
"mk","model3","tl2.50_gl0.50_c100","gain_loss_ratio",2,0,0,10,2.5,0.5,100
"mk","model3","tl5.00_gl0.50_c100","tree_length",5,1,10,10,5,0.5,100
"mk","model3","tl5.00_gl0.50_c100","gain_loss_ratio",2,0,0,10,5,0.5,100
"mk","model3","tl1.00_gl1.00_c100","tree_length",1,0.9,9,10,1,1,100
"mk","model3","tl1.00_gl1.00_c100","gain_loss_ratio",1,1,10,10,1,1,100
"mk","model3","tl1.50_gl1.00_c100","tree_length",1.5,0.9,9,10,1.5,1,100
"mk","model3","tl1.50_gl1.00_c100","gain_loss_ratio",1,1,10,10,1.5,1,100
"mk","model3","tl2.50_gl1.00_c100","tree_length",2.5,0.9,9,10,2.5,1,100
"mk","model3","tl2.50_gl1.00_c100","gain_loss_ratio",1,0.9,9,10,2.5,1,100
"mk","model3","tl5.00_gl1.00_c100","tree_length",5,1,10,10,5,1,100
"mk","model3","tl5.00_gl1.00_c100","gain_loss_ratio",1,1,10,10,5,1,100
"mk","model3","tl1.00_gl0.10_c200","tree_length",1,0.9,9,10,1,0.1,200
"mk","model3","tl1.00_gl0.10_c200","gain_loss_ratio",10,0,0,10,1,0.1,200
"mk","model3","tl1.50_gl0.10_c200","tree_length",1.5,0.9,9,10,1.5,0.1,200
"mk","model3","tl1.50_gl0.10_c200","gain_loss_ratio",10,0,0,10,1.5,0.1,200
"mk","model3","tl2.50_gl0.10_c200","tree_length",2.5,1,10,10,2.5,0.1,200
"mk","model3","tl2.50_gl0.10_c200","gain_loss_ratio",10,0,0,10,2.5,0.1,200
"mk","model3","tl5.00_gl0.10_c200","tree_length",5,1,10,10,5,0.1,200
"mk","model3","tl5.00_gl0.10_c200","gain_loss_ratio",10,0,0,10,5,0.1,200
